curve_num,n_points,n_unique_time,time_min,time_max,pop_min,pop_max,PopBio_units,has_nonpositive,has_decline
27,7,7,72.3443223443217,506.8698861802261,1.68437311276258,905.4836205185773,CFU,FALSE,FALSE
28,12,12,-0.349157715244729,316.106626690119,0.9807115293452888,8259.2790789734,CFU,FALSE,TRUE
29,14,14,0.8230452674897322,314.07407407407396,0.9793821813312396,2871.2420925789,CFU,FALSE,TRUE
30,14,14,-0.626289419392833,317.64101160652604,0.9685110388543288,2089.8050025236703,CFU,FALSE,FALSE
31,12,12,13.224438860112498,213.39043027847603,1.0540855790664905,1119.21099828323,CFU,FALSE,FALSE
32,12,12,24.2718446601942,192.718446601942,1.04998983986637,467.005700118048,CFU,FALSE,TRUE
33,12,12,13.2930065113312,206.138176623676,0.996239913640834,680.025384910909,CFU,FALSE,TRUE
34,9,9,20.873378121955003,116.82257209771396,1.43822799801308,1323.05640394134,CFU,FALSE,FALSE
35,10,10,10.6796116504854,102.427184466019,1.1575913956831998,1487.53854364841,CFU,FALSE,FALSE
36,9,9,16.893155128479204,111.39007929641,1.1248314329943998,343.942358872367,CFU,FALSE,FALSE
37,9,9,8.359488520778882,56.75590201206911,1.4042577392250202,467.74445743382006,CFU,FALSE,FALSE
38,8,8,12.621359223301,48.0582524271845,1.7101573192660502,540.601780191663,CFU,FALSE,FALSE
39,6,6,22.5026890203144,54.3319099339367,2.78844646298452,269.9862588202349,CFU,FALSE,FALSE
40,9,9,50.13338290852531,597.6371437851519,1.02918858084708,2265.4208772352604,CFU,FALSE,FALSE
41,10,10,72.3300970873786,550.970873786408,1.0759142139051796,610.7172867874899,CFU,FALSE,FALSE
42,10,10,49.09913578110531,576.3674134848007,1.1152975249115604,396.0536465148541,CFU,FALSE,FALSE
43,7,7,75.7657657657658,546.766073473854,1.15984384787522,2583.71091070578,CFU,FALSE,FALSE
44,6,6,144.17475728155296,502.912621359223,5.514147559752549,1399.5449667537998,CFU,FALSE,TRUE
45,6,6,149.79166454598797,526.830484837997,3.1966228974686697,498.94179168682103,CFU,FALSE,FALSE
46,14,14,-1.39853325811578,344.53318118877894,1.00487963784124,1355.0623293335698,CFU,FALSE,TRUE
47,13,13,0.970873786407779,315.53398058252395,1.02469011894639,2513.0898542715304,CFU,FALSE,TRUE
